ano,tipo,suma_ccaa,total_raw,delta,rel,usar_raw
2017,11. legislacion especial,165,165,0,0,TRUE
2017,12. otras infracciones penales,9758,9772,14,0.00143472022955523,TRUE
2017,2. contra la libertad,118737,119031,294,0.00247606053715354,TRUE
2017,2.1.-malos tratos habituales en el ambito familiar,14227,14238,11,7.731777605960498e-4,TRUE
2017,2.2.-otros contra la libertad,104510,104793,283,0.00270787484451248,TRUE
2017,3. libertad sexual,11631,11692,61,0.00524460493508726,TRUE
2017,3.1.-agresion sexual,6560,6580,20,0.00304878048780487,TRUE
2017,3.2.-agresion sexual con penetracion,2119,2136,17,0.00802265219443133,TRUE
2017,3.3.-corrupcion de menores o incapacitados,397,400,3,0.00755667506297229,TRUE
2017,3.4.-pornografia de menores,751,767,16,0.02130492676431425,TRUE
2017,3.5.-otros contra la libertad sexual,1804,1809,5,0.00277161862527716,TRUE
2017,4. relaciones familiares,7846,7915,69,0.00879429008411929,TRUE
2017,5. patrimonio,1573632,1593930,20298,0.01289882259638848,FALSE
2017,5.1.-hurtos,709307,712398,3091,0.00435777456023978,TRUE
2017,5.2.-robos con fuerza en las cosas,301481,301734,253,8.391905294197644e-4,TRUE
2017,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,102819,102988,169,0.00164366508135655,TRUE
2017,5.2.2.-robos con fuerza en viviendas,105075,105095,20,1.9034023316678563e-4,TRUE
2017,5.2.3.-robos con fuerza en establecimientos,35048,35059,11,3.138552841816937e-4,TRUE
2017,5.3.-robos con violencia o intimidacion,61517,61763,246,0.0039988946144968,TRUE
2017,5.3.1.-robos con violencia en via publica,27379,27561,182,0.00664743051243653,FALSE
2017,5.3.2.-robos con violencia en viviendas,3385,3389,4,0.00118168389955686,TRUE
2017,5.3.3.-robos con violencia en establecimientos,5370,5383,13,0.00242085661080074,TRUE
2017,5.4.-sustraccion de vehiculos,42424,42519,95,0.0022392985102772,TRUE
2017,5.5.-estafas,198281,214625,16344,0.08242847272305466,FALSE
2017,5.5.1.-estafas informaticas,88690,94792,6102,0.06880144322922539,FALSE
2017,5.6.-danos,214191,214246,55,2.567801634989332e-4,TRUE
2017,5.7.-contra la propiedad intelectual/industrial,1616,1622,6,0.00371287128712871,TRUE
2017,5.8.-blanqueo de capitales,249,260,11,0.04417670682730924,TRUE
2017,5.9.-otros contra el patrimonio,44566,44763,197,0.00442041017816272,TRUE
2017,6. seguridad colectiva,59148,59162,14,2.366943937242172e-4,TRUE
2017,6.1.-trafico de drogas,12946,12958,12,9.269272362119574e-4,TRUE
2017,6.2.-contra la seguridad vial,43942,43942,0,0,TRUE
2017,6.3.-otros contra la seguridad colectiva,2260,2262,2,8.849557522123894e-4,TRUE
