ano,tipo,he,total_hc,delta,flag
2019,10. orden publico,20346,21877,-1531,TRUE
2019,11. legislacion especial,257,306,-49,TRUE
2019,12. otras infracciones penales,7044,9970,-2926,TRUE
2019,2. contra la libertad,96152,125685,-29533,TRUE
2019,2.1.-malos tratos habituales en el ambito familiar,11850,14575,-2725,TRUE
2019,2.2.-otros contra la libertad,84302,111110,-26808,TRUE
2019,3. libertad sexual,11839,15319,-3480,TRUE
2019,3.1.-agresion sexual,7003,8885,-1882,TRUE
2019,3.2.-agresion sexual con penetracion,2536,3079,-543,TRUE
2019,3.3.-corrupcion de menores o incapacitados,276,369,-93,TRUE
2019,3.4.-pornografia de menores,612,866,-254,TRUE
2019,3.5.-otros contra la libertad sexual,1412,2120,-708,TRUE
2019,4. relaciones familiares,6781,7288,-507,TRUE
2019,5. patrimonio,290663,1692813,-1402150,TRUE
2019,5.1.-hurtos,111307,700453,-589146,TRUE
2019,5.2.-robos con fuerza en las cosas,39702,298098,-258396,TRUE
2019,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,8566,108637,-100071,TRUE
2019,5.2.2.-robos con fuerza en viviendas,10774,98326,-87552,TRUE
2019,5.2.3.-robos con fuerza en establecimientos,7461,32363,-24902,TRUE
2019,5.3.-robos con violencia o intimidacion,18195,65874,-47679,TRUE
2019,5.3.1.-robos con violencia en via publica,6927,25721,-18794,TRUE
2019,5.3.2.-robos con violencia en viviendas,1181,3223,-2042,TRUE
2019,5.3.3.-robos con violencia en establecimientos,3129,5609,-2480,TRUE
2019,5.4.-sustraccion de vehiculos,10896,35105,-24209,TRUE
2019,5.5.-estafas,49378,317394,-268016,TRUE
2019,5.5.1.-estafas informaticas,18428,186563,-168135,TRUE
2019,5.6.-danos,28308,219424,-191116,TRUE
2019,5.7.-contra la propiedad intelectual/industrial,1573,1807,-234,TRUE
2019,5.8.-blanqueo de capitales,257,295,-38,TRUE
2019,5.9.-otros contra el patrimonio,31047,58365,-27318,TRUE
2019,6. seguridad colectiva,63279,68749,-5470,TRUE
2019,6.1.-trafico de drogas,15179,16624,-1445,TRUE
