ano,delito5,total,extranjeros,espanoles
2021,3.2.-agresion sexual con penetracion,2419,939,1480
2021,3.3.-corrupcion de menores o incapacitados,211,53,158
2021,3.4.-pornografia de menores,467,78,389
2021,3.5.-otros contra la libertad sexual,1128,347,781
2021,4. relaciones familiares,2472,727,1745
2021,5. patrimonio,151436,55861,95575
2021,5.1.-hurtos,57256,23089,34167
2021,5.2.-robos con fuerza en las cosas,25263,8615,16648
2021,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,4928,1890,3038
2021,5.2.2.-robos con fuerza en viviendas,8012,3099,4913
2021,5.2.3.-robos con fuerza en establecimientos,6116,1878,4238
2021,5.3.-robos con violencia o intimidacion,15567,6865,8702
2021,5.3.1.-robos con violencia en via publica,9095,4434,4661
2021,5.3.2.-robos con violencia en viviendas,1332,438,894
2021,5.3.3.-robos con violencia en establecimientos,3292,1097,2195
2021,5.4.-sustraccion de vehiculos,3159,805,2354
2021,5.5.-estafas,16301,3841,12460
2021,5.5.1.-estafas informaticas,6521,1429,5092
2021,5.6.-danos,12077,3105,8972
2021,5.7.-contra la propiedad intelectual/industrial,1056,634,422
2021,5.8.-blanqueo de capitales,651,153,498
2021,5.9.-otros contra el patrimonio,20106,8754,11352
2021,6. seguridad colectiva,64341,17086,47255
2021,6.1.-trafico de drogas,23920,7314,16606
2021,6.2.-contra la seguridad vial,38996,9490,29506
2021,6.3.-otros contra la seguridad colectiva,1425,282,1143
2021,7. falsedades,11739,6852,4887
2021,8. admon. publica,370,54,316
2021,9. admon. justicia,23892,5919,17973
2021,total infracciones penales,453222,145297,307925
2022,1. contra las personas,122885,39276,83609
2022,1.1.-homicidios dolosos/asesinatos,1500,482,1018
2022,1.1.1.-homicidios dolosos/asesinatos consumados,375,105,270
2022,1.2.-lesiones,44431,13133,31298
2022,1.3.-malos tratos ambito familiar,73876,24687,49189
2022,1.4.-otros contra las personas,3078,974,2104
2022,10. orden publico,23444,8716,14728
2022,11. legislacion especial,524,98,426
2022,12. otras infracciones penales,5875,1711,4164
2022,2. contra la libertad,52677,13428,39249
2022,2.1.-malos tratos habituales en el ambito familiar,10964,3062,7902
2022,2.2.-otros contra la libertad,41713,10366,31347
