window,var,mode,test,n_obs,stat,cv_1pct,cv_5pct,cv_10pct,reject_1pct,reject_5pct,reject_10pct,za_break_index,za_break_year
sin_covid_2010_2023,tasa_det_por_100k,diff,"PP(Z-tau,const,long)",11,-3.0515419909450534,-4.325900000000001,-3.2195,-2.7557,FALSE,FALSE,TRUE,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,diff,"PP(Z-tau,trend,long)",11,-7.343199102115953,-5.2735,-3.9948,-3.4455,TRUE,TRUE,TRUE,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,diff,KPSS(mu: level),11,0.15580116536792932,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,diff,KPSS(tau: trend),11,0.14286592988360206,0.216,0.146,0.119,FALSE,FALSE,TRUE,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,diff,"ERS(DF-GLS,const)",11,-1.0755772050274033,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,tasa_det_por_100k,diff,"ERS(DF-GLS,trend)",11,-1.1413744258609833,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,share_ext,level,"ADF(drift,lag<=1,tau2)",12,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,share_ext,level,"ADF(trend,lag<=1,tau3)",12,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,share_ext,level,"PP(Z-tau,const,long)",12,-0.8467405557663031,-4.220599173553719,-3.1800999999999995,-2.7348520661157023,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,share_ext,level,"PP(Z-tau,trend,long)",12,0.896466125388748,-5.115229752066115,-3.927137190082645,-3.4103628099173555,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,share_ext,level,KPSS(mu: level),12,0.17202230468602128,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,share_ext,level,KPSS(tau: trend),12,0.14819303732652872,0.216,0.146,0.119,FALSE,TRUE,TRUE,NA,NA
sin_covid_2010_2023,share_ext,level,"ERS(DF-GLS,const)",12,-1.682835866687515,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,share_ext,level,"ERS(DF-GLS,trend)",12,-1.6812045466164671,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,share_ext,level,ZA(break:both),12,-0.8576713529310276,NA,NA,NA,NA,FALSE,FALSE,NA,NA
sin_covid_2010_2023,share_ext,diff,"ADF(drift,lag<=1,tau2)",11,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
