Comunidades autónomas;Tipología penal;Sexo;periodo;Total
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2020;2.384
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2019;2.212
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2018;1.920
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2017;1.863
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2016;1.807
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2015;1.872
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2014;2.067
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2013;2.447
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2012;2.564
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2011;2.841
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2010;2.381
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2023;364
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2022;274
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2021;249
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2020;214
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2019;184
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2018;174
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2017;126
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2016;123
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2015;164
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2014;165
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2013;206
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2012;184
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2011;170
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2010;117
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2023;3.565
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2022;3.062
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2021;2.784
