nacionalidad,grupo_quinquenal_de_edad,sexo,periodo,total
Total,De 5 a 9 años,Total,1 de julio de 2017,2.428.717
Total,De 5 a 9 años,Total,1 de abril de 2017,
Total,De 5 a 9 años,Total,1 de enero de 2017,2.448.703
Total,De 5 a 9 años,Total,1 de octubre de 2016,
Total,De 5 a 9 años,Total,1 de julio de 2016,2.457.456
Total,De 5 a 9 años,Total,1 de abril de 2016,
Total,De 5 a 9 años,Total,1 de enero de 2016,2.470.184
Total,De 5 a 9 años,Total,1 de octubre de 2015,
Total,De 5 a 9 años,Total,1 de julio de 2015,2.472.304
Total,De 5 a 9 años,Total,1 de abril de 2015,
Total,De 5 a 9 años,Total,1 de enero de 2015,2.477.381
Total,De 5 a 9 años,Total,1 de octubre de 2014,
Total,De 5 a 9 años,Total,1 de julio de 2014,2.474.230
Total,De 5 a 9 años,Total,1 de abril de 2014,
Total,De 5 a 9 años,Total,1 de enero de 2014,2.472.955
Total,De 5 a 9 años,Total,1 de octubre de 2013,
Total,De 5 a 9 años,Total,1 de julio de 2013,2.454.569
Total,De 5 a 9 años,Total,1 de abril de 2013,
Total,De 5 a 9 años,Total,1 de enero de 2013,2.437.125
Total,De 5 a 9 años,Total,1 de octubre de 2012,
Total,De 5 a 9 años,Total,1 de julio de 2012,2.417.308
Total,De 5 a 9 años,Total,1 de abril de 2012,
Total,De 5 a 9 años,Total,1 de enero de 2012,2.397.810
Total,De 5 a 9 años,Total,1 de octubre de 2011,
Total,De 5 a 9 años,Total,1 de julio de 2011,2.372.350
Total,De 5 a 9 años,Total,1 de abril de 2011,
Total,De 5 a 9 años,Total,1 de enero de 2011,2.347.840
Total,De 5 a 9 años,Total,1 de octubre de 2010,
Total,De 5 a 9 años,Total,1 de julio de 2010,2.327.162
Total,De 5 a 9 años,Total,1 de abril de 2010,
Total,De 5 a 9 años,Total,1 de enero de 2010,2.306.649
Total,De 5 a 9 años,Hombres,1 de octubre de 2023,1.133.976
Total,De 5 a 9 años,Hombres,1 de julio de 2023,1.137.104
Total,De 5 a 9 años,Hombres,1 de abril de 2023,1.141.348
Total,De 5 a 9 años,Hombres,1 de enero de 2023,1.143.451
Total,De 5 a 9 años,Hombres,1 de octubre de 2022,1.145.698
Total,De 5 a 9 años,Hombres,1 de julio de 2022,1.147.216
Total,De 5 a 9 años,Hombres,1 de abril de 2022,1.149.406
Total,De 5 a 9 años,Hombres,1 de enero de 2022,1.152.040
Total,De 5 a 9 años,Hombres,1 de octubre de 2021,1.157.707
Total,De 5 a 9 años,Hombres,1 de julio de 2021,1.160.069
Total,De 5 a 9 años,Hombres,1 de abril de 2021,1.166.863
Total,De 5 a 9 años,Hombres,1 de enero de 2021,1.172.526
Total,De 5 a 9 años,Hombres,1 de octubre de 2020,
Total,De 5 a 9 años,Hombres,1 de julio de 2020,1.183.133
Total,De 5 a 9 años,Hombres,1 de abril de 2020,
Total,De 5 a 9 años,Hombres,1 de enero de 2020,1.193.800
Total,De 5 a 9 años,Hombres,1 de octubre de 2019,
Total,De 5 a 9 años,Hombres,1 de julio de 2019,1.200.564
Total,De 5 a 9 años,Hombres,1 de abril de 2019,
Total,De 5 a 9 años,Hombres,1 de enero de 2019,1.209.616
Total,De 5 a 9 años,Hombres,1 de octubre de 2018,
Total,De 5 a 9 años,Hombres,1 de julio de 2018,1.225.722
Total,De 5 a 9 años,Hombres,1 de abril de 2018,
Total,De 5 a 9 años,Hombres,1 de enero de 2018,1.245.413
Total,De 5 a 9 años,Hombres,1 de octubre de 2017,
Total,De 5 a 9 años,Hombres,1 de julio de 2017,1.252.407
Total,De 5 a 9 años,Hombres,1 de abril de 2017,
Total,De 5 a 9 años,Hombres,1 de enero de 2017,1.262.909
Total,De 5 a 9 años,Hombres,1 de octubre de 2016,
Total,De 5 a 9 años,Hombres,1 de julio de 2016,1.267.438
Total,De 5 a 9 años,Hombres,1 de abril de 2016,
Total,De 5 a 9 años,Hombres,1 de enero de 2016,1.274.057
Total,De 5 a 9 años,Hombres,1 de octubre de 2015,
Total,De 5 a 9 años,Hombres,1 de julio de 2015,1.274.741
Total,De 5 a 9 años,Hombres,1 de abril de 2015,
Total,De 5 a 9 años,Hombres,1 de enero de 2015,1.277.019
Total,De 5 a 9 años,Hombres,1 de octubre de 2014,
Total,De 5 a 9 años,Hombres,1 de julio de 2014,1.275.100
Total,De 5 a 9 años,Hombres,1 de abril de 2014,
Total,De 5 a 9 años,Hombres,1 de enero de 2014,1.274.351
Total,De 5 a 9 años,Hombres,1 de octubre de 2013,
Total,De 5 a 9 años,Hombres,1 de julio de 2013,1.264.143
Total,De 5 a 9 años,Hombres,1 de abril de 2013,
Total,De 5 a 9 años,Hombres,1 de enero de 2013,1.254.375
Total,De 5 a 9 años,Hombres,1 de octubre de 2012,
Total,De 5 a 9 años,Hombres,1 de julio de 2012,1.243.940
Total,De 5 a 9 años,Hombres,1 de abril de 2012,
Total,De 5 a 9 años,Hombres,1 de enero de 2012,1.233.542
Total,De 5 a 9 años,Hombres,1 de octubre de 2011,
Total,De 5 a 9 años,Hombres,1 de julio de 2011,1.219.746
Total,De 5 a 9 años,Hombres,1 de abril de 2011,
Total,De 5 a 9 años,Hombres,1 de enero de 2011,1.206.431
Total,De 5 a 9 años,Hombres,1 de octubre de 2010,
Total,De 5 a 9 años,Hombres,1 de julio de 2010,1.196.139
Total,De 5 a 9 años,Hombres,1 de abril de 2010,
Total,De 5 a 9 años,Hombres,1 de enero de 2010,1.185.937
Total,De 5 a 9 años,Mujeres,1 de octubre de 2023,1.070.314
Total,De 5 a 9 años,Mujeres,1 de julio de 2023,1.072.276
Total,De 5 a 9 años,Mujeres,1 de abril de 2023,1.076.055
