sexo,edad,tasa_de_riesgo_de_pobreza_o_exclusion_social_y_sus_componentes,periodo,total
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2017,"20,6"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2016,"21,9"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2015,"21,4"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2014,"21,0"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2013,"19,0"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2012,"18,0"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2011,"17,1"
Ambos sexos,De 45 a 64 años,En riesgo de pobreza (renta año anterior a la entrevista),2010,"16,4"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2023,"8,8"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2022,"7,5"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2021,"7,2"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2020,"6,7"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2019,"4,7"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2018,"5,8"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2017,"5,7"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2016,"6,3"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2015,"6,4"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2014,"6,9"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2013,"5,0"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2012,"4,6"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2011,"4,1"
Ambos sexos,De 45 a 64 años,Con carencia material severa,2010,"4,0"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2023,"9,9"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2022,"11,0"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2021,"14,2"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2020,"13,3"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2019,"14,5"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2018,"14,4"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2017,"17,0"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2016,"20,1"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2015,"20,4"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2014,"21,6"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2013,"19,6"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2012,"18,0"
Ambos sexos,De 45 a 64 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2011,"16,4"
